userId,commitId
6533,1
7498,2
4776,3
1519,4
5731,5
2421,6
6683,7
2836,8
7249,9
6506,10
5485,11
5354,12
2472,13
6495,14
1644,15
8694,16
4354,17
4004,18
1538,19
939,20
3428,21
8811,22
4546,23
4693,24
5588,25
4088,26
2708,27
3551,28
4872,29
6260,30
2662,31
6248,32
9812,33
3914,34
3927,35
3773,36
8984,37
5258,38
4759,39
4019,40
2968,41
154,42
5063,43
5691,44
3197,45
5935,46
6989,47
3855,48
3133,49
1309,50
6632,51
6553,52
2474,53
1224,54
1585,55
2122,56
4693,57
1862,58
3666,59
1402,60
4271,61
4002,62
9057,63
1832,64
2856,65
6454,66
5303,67
5679,68
2895,69
4644,70
9225,71
1385,72
1686,73
6700,74
2186,75
6146,76
5547,77
1285,78
3585,79
5670,80
6318,81
9241,82
7958,83
8536,84
1579,85
9506,86
8887,87
8138,88
1466,89
4828,90
9563,91
6714,92
1580,93
3568,94
1832,95
9094,96
4857,97
7901,98
7427,99
1315,100
4979,101
7400,102
202,103
1724,104
3253,105
8425,106
7834,107
4740,108
8495,109
8026,110
1581,111
3880,112
4547,113
1376,114
6860,115
9628,116
6424,117
6394,118
301,119
416,120
2194,121
9680,122
7031,123
5052,124
3686,125
3853,126
601,127
7858,128
7152,129
1147,130
6364,131
7955,132
6201,133
3274,134
2870,135
2729,136
5662,137
4147,138
8543,139
1946,140
5440,141
2059,142
6648,143
5575,144
1996,145
2279,146
9497,147
2442,148
2964,149
7086,150
5161,151
6113,152
1542,153
6115,154
6141,155
9509,156
2414,157
1847,158
1825,159
1728,160
3281,161
9588,162
3293,163
8316,164
6457,165
3052,166
757,167
4298,168
1936,169
991,170
2248,171
2203,172
1670,173
8696,174
328,175
3268,176
4951,177
9835,178
5038,179
2323,180
3457,181
9218,182
2061,183
229,184
7144,185
4265,186
1547,187
2139,188
2702,189
1540,190
6399,191
8966,192
1250,193
4974,194
5437,195
9490,196
968,197
4344,198
7447,199
9863,200
8264,201
8294,202
2391,203
7247,204
3344,205
7912,206
5505,207
4013,208
9118,209
7227,210
4550,211
6043,212
7578,213
5539,214
5883,215
2261,216
6758,217
8271,218
9335,219
591,220
5278,221
8054,222
663,223
5127,224
1493,225
3085,226
6518,227
4919,228
6147,229
4000,230
5197,231
839,232
8993,233
381,234
8857,235
6837,236
628,237
8465,238
9774,239
9227,240
4624,241
5233,242
717,243
3553,244
4171,245
716,246
7028,247
6276,248
3555,249
7494,250
6414,251
5956,252
7890,253
1779,254
5548,255
4517,256
8924,257
6106,258
5405,259
5396,260
3274,261
7348,262
9022,263
284,264
9186,265
8383,266
2125,267
9237,268
5363,269
9792,270
7054,271
8016,272
4637,273
1874,274
9614,275
6795,276
2549,277
215,278
7106,279
447,280
905,281
2983,282
3019,283
1120,284
2514,285
9416,286
8240,287
9107,288
3764,289
566,290
9661,291
100,292
3493,293
7308,294
5493,295
2944,296
1100,297
1985,298
677,299
3053,300
1767,301
1975,302
7776,303
898,304
9927,305
853,306
2252,307
5398,308
5074,309
1171,310
4154,311
1116,312
5378,313
7211,314
1009,315
8294,316
4921,317
7172,318
1132,319
3222,320
2294,321
7086,322
206,323
6921,324
6365,325
117,326
8337,327
2293,328
8644,329
9383,330
7989,331
3822,332
1797,333
8767,334
8861,335
7036,336
4283,337
1874,338
6375,339
1035,340
6485,341
3844,342
9769,343
8661,344
9224,345
7185,346
7476,347
6150,348
9843,349
5432,350
1581,351
5931,352
9187,353
5859,354
2945,355
2973,356
128,357
4954,358
5521,359
8391,360
658,361
7044,362
3267,363
7650,364
2131,365
8866,366
8477,367
4092,368
3712,369
1783,370
8784,371
4478,372
8312,373
10,374
5074,375
8538,376
3217,377
1487,378
4408,379
4282,380
5055,381
8053,382
5365,383
3405,384
7040,385
9528,386
4235,387
1954,388
6211,389
2671,390
