app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
238960,0,0,2021-07-06,true,10.8,1123908,111
438100,2,0,2022-07-25,false,534.8,1140958,112
306130,0,0,2020-10-22,true,623.9,1176952,113
397540,0,0,2021-03-09,true,123.1,1179990,114
252490,0,0,2022-06-28,true,496.8,1147385,251
289070,7,0,2019-02-11,false,1.5,112786,357
255710,0,0,2021-06-18,true,0.4,117890,358
1144200,0,0,2022-02-03,true,19.3,1141783,386
1196590,0,0,2022-10-16,true,16.4,1154263,387
518790,2,0,2019-08-02,true,18.4,1191554,388
1419170,0,0,2022-12-12,true,3.1,1109137,514
304390,0,0,2021-03-14,false,5.6,1153421,515
238960,0,0,2015-06-01,true,437.5,1169255,516
1286680,0,0,2022-07-23,true,29.7,1183603,517
582010,0,0,2022-07-24,true,138.0,1188569,518
1817070,2,0,2022-08-15,true,15.7,1104476,614
1286830,0,0,2022-03-29,true,15.3,1113765,615
440900,2,0,2021-01-11,true,146.0,114815,964
552500,0,0,2022-05-13,true,411.5,1114187,975
105600,0,0,2021-04-28,true,50.2,1152204,976
1286830,0,0,2022-01-31,true,108.7,1152601,977
284160,0,0,2021-04-06,true,181.1,1164321,978
252490,0,0,2021-03-30,true,967.0,1194011,979
1466860,0,0,2021-12-05,true,133.3,1134537,1125
413150,149,40,2016-07-27,true,202.4,1150903,1126
242760,2,0,2022-03-01,true,41.0,1154419,1127
250900,0,0,2019-06-30,true,232.0,1179792,1128
686810,0,0,2022-02-22,true,101.3,1188235,1129
1174180,0,0,2022-06-30,true,638.4,117643,1250
438100,0,0,2021-11-01,true,324.3,1101016,1394
271590,0,0,2022-10-29,true,147.6,1133816,1395
686810,2,2,2021-09-16,false,6.5,1180354,1488
221100,388,95,2016-06-01,false,302.9,11216,1640
376210,0,0,2021-06-20,true,36.3,1115802,1671
252490,0,0,2021-12-21,true,208.2,1152917,1672
1091500,0,0,2022-09-15,true,322.3,116758,1723
730,2,2,2018-04-15,false,727.9,1109250,1795
292030,3,0,2020-09-25,true,226.0,1151069,1796
613100,0,0,2021-03-05,true,49.2,1160562,1797
377160,0,0,2015-11-14,true,62.7,1168070,1798
1313140,0,0,2022-08-15,true,25.6,1190514,1799
546560,0,0,2021-11-10,true,384.8,1119468,1984
255710,2,0,2022-02-21,true,7.8,1139760,2231
394360,0,0,2022-08-08,true,401.0,1130173,2374
431960,0,0,2021-05-18,true,13.1,1117812,2429
107410,0,0,2021-12-29,true,58.8,1126793,2430
252490,0,0,2014-06-21,true,530.0,1136714,2431
489830,2,0,2020-07-13,false,94.6,1148534,2432
261550,0,0,2020-04-02,true,66.7,1187676,2433
306130,0,0,2021-04-18,false,3.8,1106975,2682
270880,0,0,2021-12-26,true,22.4,1111571,2683
431960,0,0,2022-03-07,true,44.3,1113958,2684
1794680,0,0,2022-01-19,true,26.5,1138081,2685
1527950,0,0,2022-10-25,true,75.4,1146210,2686
1248130,0,0,2022-06-01,true,109.9,1113053,2795
250900,0,0,2022-04-13,true,936.3,1154167,2796
291550,11,0,2014-05-01,true,21.4,1176284,2797
1245620,0,0,2022-04-03,true,173.0,1181334,2798
1938090,0,0,2022-11-04,true,85.0,114230,2894
377160,2,0,2016-01-18,true,196.3,1116921,2945
238960,0,0,2022-09-18,true,195.2,1138971,2946
394360,0,0,2021-07-03,true,16.3,1140638,2947
435150,0,0,2020-10-30,true,38.5,1188304,2948
784080,3,0,2021-11-11,true,112.1,116178,3027
39210,0,0,2022-01-07,true,43.9,1100962,3046
438100,0,0,2022-05-25,true,43.6,1107234,3047
271590,0,0,2022-03-22,true,159.0,1169421,3048
218620,0,0,2017-01-07,true,110.0,1184496,3049
292030,0,0,2019-12-25,true,305.3,1190552,3050
270880,0,0,2022-01-22,true,68.7,1127935,3325
22380,4,2,2022-12-21,false,36.6,1102267,3370
851850,0,0,2022-07-23,true,54.2,1172699,3371
4000,0,0,2021-06-28,true,350.8,1124350,3563
1086940,0,0,2021-01-23,true,13.2,1160241,3565
289070,0,0,2021-05-08,true,5.6,1188188,3567
377160,0,0,2022-06-26,true,26.5,1110762,3576
438100,0,0,2021-12-08,true,235.1,1113371,3675
629730,3,0,2020-07-31,false,1.1,1151875,3676
236850,0,0,2020-01-20,true,343.3,1134728,3733
578080,4,0,2022-11-06,false,8.0,1138512,3734
1240440,3,0,2022-11-08,false,21.4,1144864,3735
271590,0,0,2021-12-11,true,347.4,1145665,3736
1811260,0,0,2022-12-23,false,266.1,1161264,4070
1943950,0,0,2022-10-13,true,3.8,1170831,4072
534380,0,0,2022-02-24,true,153.5,1171777,4075
261550,0,0,2021-03-02,true,116.8,1189704,4078
368260,0,0,2022-12-11,false,68.1,1123255,4129
1332010,0,0,2022-08-17,true,21.4,1130999,4223
1599340,0,0,2022-02-19,true,105.6,1141002,4224
730,2,0,2016-11-23,true,683.5,1173575,4225
1174180,0,0,2022-01-10,true,71.0,1137800,4808
1091500,2,0,2021-09-12,false,120.8,1154739,4809
218620,0,0,2014-10-18,true,164.4,1171131,4810
359550,0,0,2021-03-15,true,69.8,1168575,5193
534380,0,0,2022-02-14,true,35.0,1155027,5281
1222670,0,0,2021-01-04,true,6.0,116442,5403
1174180,0,0,2020-10-06,true,122.7,113793,5408
613100,0,0,2022-04-04,true,9.2,1101981,5440
252490,0,0,2021-09-27,true,750.3,1106138,5550
1259420,0,0,2022-11-17,true,73.6,1152447,5551
815370,0,0,2020-05-07,true,174.5,1161254,5552
546560,0,0,2022-02-06,true,45.3,1168401,5553
1599340,0,0,2022-02-17,true,5.8,1169403,5554
289070,2,0,2020-07-24,false,15.0,1184109,5555
1091500,3,2,2020-12-10,false,30.6,1114586,5605
534380,0,0,2022-11-24,true,8.9,1199063,5607
394360,0,0,2021-12-31,true,81.8,1137768,5791
39210,0,0,2021-08-24,true,214.7,1176966,5792
1174180,0,0,2022-02-13,true,91.4,1179414,5794
1174180,0,0,2021-12-21,true,18.1,1190641,5795
526870,0,0,2021-11-30,true,239.4,11226,5897
264710,0,0,2020-12-28,true,56.1,114407,5945
1938090,0,0,2022-12-09,false,168.6,11274,5985
1248130,0,0,2022-09-21,true,116.6,1132544,6087
42700,3,0,2021-10-16,true,10.4,1103112,6171
1174180,0,0,2021-05-31,true,83.7,1104054,6172
431960,0,0,2022-02-22,true,231.2,1136470,6173
39210,0,0,2021-10-19,true,210.3,1156879,6174
1222670,0,0,2022-02-16,true,179.6,1119128,6267
252490,0,0,2022-04-06,true,436.5,116182,6649
489830,0,2,2019-09-04,true,13.9,116697,6650
292030,0,0,2019-07-05,true,109.9,1184068,6701
686810,5,0,2022-07-17,true,299.9,1195703,6702
292030,2,0,2015-05-18,true,350.4,1163905,6739
1091500,0,0,2021-07-14,true,243.9,1177282,6740
4000,0,0,2021-09-24,true,26.6,119711,6887
1938090,0,0,2022-11-22,true,17.1,1116783,7099
244210,0,0,2022-10-30,true,70.8,1142938,7229
252490,0,0,2021-11-28,true,231.4,1102093,7277
377160,0,0,2020-01-15,true,317.7,1115880,7279
291550,0,0,2022-01-11,true,145.4,1138279,7280
435150,0,0,2017-10-10,true,127.2,1147208,7282
252490,4,3,2018-06-28,false,0.2,1151960,7284
1938090,0,0,2022-11-08,true,177.6,1154232,7285
294100,0,0,2017-12-29,true,281.3,1163003,7286
1286830,0,0,2022-12-01,true,10.1,115125,7321
230410,3,0,2018-11-16,true,452.6,117113,7322
107410,0,0,2021-02-01,true,122.0,1119367,7369
1172620,0,0,2021-12-10,true,51.5,1130226,7371
367520,0,0,2021-07-08,true,11.1,1146432,7373
1789480,0,0,2022-12-16,true,67.6,1124535,7374
552990,0,0,2022-02-11,true,291.7,1179694,7375
236850,0,0,2021-02-20,true,263.3,1150425,7376
250900,0,0,2021-11-10,true,265.5,118654,7442
377160,0,0,2021-05-23,true,107.3,1115302,7498
1172620,0,0,2021-06-04,true,11.0,1161675,7501
1290000,0,0,2022-04-23,true,53.8,1129190,7576
